 Timestamp,  (|0)IVC-AZ, IVC-LV, IVC-CL, (^1)V-AZ,V-LV_YTilt,V-CL_XTilt,V-LV_RawY,V-CL_RawX, (^2)W-AZ, W-LV, W-CL, (^3)TC-AZ, TC-LV, TC-CL, (^4)DsXY-AZ_VCP,DsXY-LV_VCP,DsXY-CL_VCP,DsXY-Phase_VCP, (^5)ADMC-LV,ADMC-AZ,ADMC-REL,ADMC-AGC, (^8)Heading,GPS-Longitude,,GPS-Latitude,,Modem,Tx-Mute
02-22-2014 12:47:09:040 0|0,  +0.130,  +0.401,  -0.013^1,  +0.000,  +0.489,  +0.188^2,  -0.791,  -1.644,  +0.405^3,  -0.242,  -0.225,  +0.009^4,+193.873, +31.436,  -0.013,+121.000^5, +31.436,+193.873,+161.860,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:08:040 0|0,  +0.190,  +0.409,  +0.022^1,  +0.000,  +0.440,  +0.178^2,  -0.059,  -2.071,  -0.144^3,  -0.256,  -0.317,  +0.108^4,+194.234, +33.910,  +0.022, +34.000^5, +33.910,+194.234,+162.294,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:07:040 0|0,  +0.164,  +0.409,  +0.004^1,  +0.000,  +0.465,  +0.171^2,  -0.364,  -2.132,  -0.022^3,  -0.311,  -0.191,  -0.074^4,+194.418, +35.635,  +0.004, +81.000^5, +35.635,+194.418,+162.465,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:06:040 0|0,  +0.156,  +0.378,  +0.012^1,  +0.000,  +0.471,  +0.163^2,  -0.730,  -2.559,  -0.144^3,  -0.300,  +0.054,  -0.355^4,+194.656, +37.629,  +0.012, +74.000^5, +37.629,+194.656,+162.728,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:05:040 0|0,  +0.069,  +0.266,  +0.001^1,  +0.000,  +0.256,  +0.174^2,  -0.486,  -1.522,  -0.083^3,  -0.222,  -0.137,  -0.063^4,+194.784, +39.269,  +0.001,+102.000^5, +39.269,+194.784,+162.893,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:04:040 0|0,  -0.018,  +0.019,  -0.005^1,  +0.000,  +0.010,  +0.180^2,  -0.303,  -0.363,  +0.039^3,  -0.070,  +0.105,  -0.066^4,+194.827, +40.090,  -0.005,+117.000^5, +40.090,+194.827,+162.964,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:03:040 0|0,  -0.023,  -0.113,  +0.002^1,  +0.000,  -0.088,  +0.173^2,  -0.547,  -0.057,  -0.083^3,  -0.007,  +0.200,  -0.129^4,+194.847, +40.163,  +0.002, +99.000^5, +40.163,+194.847,+162.997,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:02:040 0|0,  -0.032,  -0.114,  -0.002^1,  +0.000,  -0.112,  +0.202^2,  -0.120,  +0.126,  +0.100^3,  -0.044,  +0.237,  +0.010^4,+194.838, +40.162,  -0.002,+110.000^5, +40.162,+194.838,+162.964,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:01:040 0|0,  -0.040,  -0.112,  -0.004^1,  +0.000,  -0.089,  +0.179^2,  -0.669,  +0.004,  -0.083^3,  -0.004,  +0.290,  -0.196^4,+194.830, +40.164,  -0.004,+121.000^5, +40.164,+194.830,+162.964,1506^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:00:040 0|0,  +0.002,  -0.109,  +0.025^1,  +0.000,  -0.067,  +0.175^2,  -0.547,  -0.484,  +0.039^3,  +0.096,  +0.278,  +0.079^4,+194.872, +40.167,  +0.025, +43.000^5, +40.167,+194.872,+163.030,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.448   35.365
