10-04-2013 08:39:12:270,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:39:12:570,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:39:12:900,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:39:19:880,INFORMATION,NULL,webs_req_task1,MXP,SET SATELLITE LON 172.0 E set by Dealer
10-04-2013 08:39:19:900,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE SEARCH_PATTERN SPIRAL set by Dealer
10-04-2013 08:39:24:000,INFORMATION,1027,RemoteSystemStat_task,MXP,Satellite Out of Range: ON
10-04-2013 08:39:24:000,INFORMATION,NULL,webs_req_task1,MXP,SET SATELLITE FREQ 1118.000 set by Dealer
10-04-2013 08:39:27:460,INFORMATION,NULL,webs_req_task1,MXP,SET SATELLITE BAND 3 set by Dealer
10-04-2013 08:39:27:480,INFORMATION,NULL,webs_req_task1,MXP,SET SATELLITE DESCRIPTION GE23 NEA set by Dealer
10-04-2013 08:39:27:770,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:39:36:200,INFORMATION,NULL,webs_req_task1,MXP,SET SATELLITE LON 30.0 W set by Dealer
10-04-2013 08:39:36:210,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE SEARCH_PATTERN SKY_SEARCH set by Dealer
10-04-2013 08:39:36:220,INFORMATION,1027,RemoteSystemStat_task,MXP,Satellite Out of Range: OFF
10-04-2013 08:39:36:230,INFORMATION,NULL,webs_req_task1,MXP,SET SATELLITE FREQ 1380.000 set by Dealer
10-04-2013 08:39:36:250,INFORMATION,NULL,webs_req_task0,MXP,SET SYSTEM RETARGET  set by Dealer
10-04-2013 08:39:40:190,INFORMATION,NULL,webs_req_task1,MXP,SET SATELLITE BAND 2 set by Dealer
10-04-2013 08:39:43:500,INFORMATION,NULL,webs_req_task1,MXP,SET SATELLITE DESCRIPTION HISPASAT set by Dealer
10-04-2013 08:39:43:860,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:39:43:970,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:39:48:240,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:46:56:070,INFORMATION,NULL,webs_req_task1,MXP,SET SYSTEM PRIMARY_REFLECTOR TRIM EL 0 set by Dealer
10-04-2013 08:46:56:080,INFORMATION,NULL,webs_req_task1,MXP,SET SYSTEM PRIMARY_REFLECTOR TRIM AZ 0 set by Dealer
10-04-2013 08:47:11:610,INFORMATION,NULL,webs_req_task1,MXP,SET SATELLITE TX_POL H set by Dealer
10-04-2013 08:47:15:710,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:47:21:330,INFORMATION,NULL,webs_req_task1,MXP,SET ANTENNA TRACKING OFF set by Dealer
10-04-2013 09:02:21:890,INFORMATION,NULL,webs_req_task1,MXP,SET ANTENNA TRACKING ON set by Dealer
10-04-2013 09:05:32:600,INFORMATION,NULL,webs_req_task0,MXP,SET SYSTEM RETARGET  set by Dealer
10-04-2013 09:05:36:870,INFORMATION,NULL,webs_req_task1,MXP,SET SATELLITE TX_POL V set by Dealer
10-04-2013 09:06:20:670,INFORMATION,NULL,webs_req_task1,MXP,SET ANTENNA TRACKING OFF set by Dealer
10-04-2013 09:08:50:620,INFORMATION,NULL,webs_req_task1,MXP,SET SYSTEM RETARGET  set by Dealer
10-04-2013 09:09:36:560,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 09:10:31:820,INFORMATION,NULL,webs_req_task0,MXP,SET ANTENNA TRACKING OFF set by Dealer
10-04-2013 09:11:26:990,INFORMATION,NULL,webs_req_task0,MXP,SET SYSTEM RETARGET  set by Dealer
10-04-2013 09:11:27:420,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 09:11:45:870,INFORMATION,NULL,webs_req_task0,MXP,SET SYSTEM RETARGET  set by Dealer
10-04-2013 09:11:51:930,INFORMATION,NULL,webs_req_task1,MXP,SET ANTENNA TRACKING OFF set by Dealer
