10-04-2013 08:26:27:470, INFORMATION, webs_req_task0, SET ANTENNA AZ_TARGET 159.6 set by Dealer, MXP,,,
10-04-2013 08:25:44:330, INFORMATION, webs_req_task0, SET ANTENNA TRACKING OFF set by Dealer, MXP,,,
10-04-2013 08:24:16:310, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:24:10:390, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:24:10:250, INFORMATION, webs_req_task0, SET SATELLITE DESCRIPTION HOTBIRD 13E set by Dealer, MXP,,,
10-04-2013 08:24:10:230, INFORMATION, webs_req_task0, SET SATELLITE BAND 2 set by Dealer, MXP,,,
10-04-2013 08:24:06:940, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:24:06:930, INFORMATION, webs_req_task0, SET SATELLITE TX_POL V set by Dealer, MXP,,,
10-04-2013 08:24:02:940, INFORMATION, webs_req_task1, SET SYSTEM RETARGET  set by Dealer, MXP,,,
10-04-2013 08:24:02:920, INFORMATION, webs_req_task0, SET SATELLITE FREQ 1265.000 set by Dealer, MXP,,,
10-04-2013 08:24:02:900, INFORMATION, webs_req_task1, SET SATELLITE SEARCH_PATTERN SKY_SEARCH set by Dealer, MXP,,,
10-04-2013 08:24:02:890, INFORMATION, webs_req_task0, SET SATELLITE LON 13.0 E set by Dealer, MXP,,,
10-04-2013 08:23:23:480, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:23:23:280, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:23:23:200, INFORMATION, webs_req_task0, SET SATELLITE DESCRIPTION 15 W ION set by Dealer, MXP,,,
10-04-2013 08:23:23:180, INFORMATION, webs_req_task0, SET SATELLITE BAND 1 set by Dealer, MXP,,,
10-04-2013 08:23:23:160, INFORMATION, webs_req_task0, SET SATELLITE TX_POL H set by Dealer, MXP,,,
10-04-2013 08:23:19:680, INFORMATION, webs_req_task0, SET SATELLITE FREQ 1036.930 set by Dealer, MXP,,,
10-04-2013 08:23:15:540, INFORMATION, webs_req_task1, SET SATELLITE SEARCH_PATTERN SPIRAL set by Dealer, MXP,,,
10-04-2013 08:23:15:530, INFORMATION, webs_req_task0, SET SATELLITE LON 15.0 W set by Dealer, MXP,,,
10-04-2013 08:23:02:480, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:23:02:300, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:23:01:090, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:23:00:850, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
